symbol,trade_date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,inserted_at
A,2025-06-10,117.9000,121.1600,117.1300,120.5200,120.5200,3499500,0.0000,1.0000,2025-06-19 11:37:11
AA,2025-06-10,28.6900,29.4200,28.4750,28.7600,28.7600,5709500,0.0000,1.0000,2025-06-19 11:37:11
AAA,2025-06-10,24.9200,25.0000,24.9200,24.9900,24.9900,7200,0.0000,1.0000,2025-06-19 11:37:11
AAAU,2025-06-10,33.0200,33.0800,32.7900,32.8900,32.8900,2945300,0.0000,1.0000,2025-06-19 11:37:11
AACBU,2025-06-10,10.3600,10.4500,10.3300,10.3300,10.3300,4900,0.0000,1.0000,2025-06-19 11:37:11
AACG,2025-06-10,0.8900,0.9200,0.8300,0.8500,0.8500,18800,0.0000,1.0000,2025-06-19 11:37:11
AACIU,2025-06-10,10.0900,10.0900,10.0800,10.0800,10.0800,8200,0.0000,1.0000,2025-06-19 11:37:11
AACT,2025-06-10,11.3800,11.4000,11.3250,11.3600,11.3600,192500,0.0000,1.0000,2025-06-19 11:37:11
AADR,2025-06-10,79.0800,79.0800,78.0900,78.2900,78.2900,800,0.0000,1.0000,2025-06-19 11:37:11
AAL,2025-06-10,11.8100,11.9700,11.6800,11.8400,11.8400,41825100,0.0000,1.0000,2025-06-19 11:37:11
AAM,2025-06-10,10.4500,10.4500,10.4050,10.4050,10.4050,600,0.0000,1.0000,2025-06-19 11:37:11
AAME,2025-06-10,1.7600,1.8200,1.6700,1.7400,1.7400,7600,0.0000,1.0000,2025-06-19 11:37:11
AAMI,2025-06-10,31.2300,31.4800,31.0600,31.4500,31.4401,254700,0.0000,1.0000,2025-06-19 11:37:11
AAOI,2025-06-10,16.9200,17.2500,16.0500,16.4400,16.4400,2797100,0.0000,1.0000,2025-06-19 11:37:11
AAON,2025-06-10,94.1500,94.7100,78.1200,78.5600,78.5600,2976300,0.0000,1.0000,2025-06-19 11:37:11
AAP,2025-06-10,52.8400,53.3000,51.4500,53.2500,53.2500,2193500,0.0000,1.0000,2025-06-19 11:37:11
AAPB,2025-06-10,19.4700,20.1300,19.4700,19.8300,19.8300,260000,0.0000,1.0000,2025-06-19 11:37:11
AAPD,2025-06-10,18.0200,18.0200,17.6900,17.8200,17.8200,1218900,0.0000,1.0000,2025-06-19 11:37:11
AAPG,2025-06-10,30.0000,30.3800,29.7100,29.9000,29.9000,21600,0.0000,1.0000,2025-06-19 11:37:11
AAPL,2025-06-10,200.6000,204.3500,200.5700,202.6700,202.6700,54672600,0.0000,1.0000,2025-06-19 11:37:11
AAPR,2025-06-10,26.9400,26.9780,26.9400,26.9780,26.9780,900,0.0000,1.0000,2025-06-19 11:37:11
AAPU,2025-06-10,21.2400,22.0150,21.2400,21.6700,21.6700,4200500,0.0000,1.0000,2025-06-19 11:37:11
AAPW,2025-06-10,35.6400,36.3320,35.6400,35.9960,35.7512,9200,0.0000,1.0000,2025-06-19 11:37:11
AAPX,2025-06-10,18.3000,18.9400,18.3000,18.6500,18.6500,227300,0.0000,1.0000,2025-06-19 11:37:11
AAPY,2025-06-10,21.3400,21.5000,21.3100,21.4090,21.1541,4400,0.0000,1.0000,2025-06-19 11:37:11
AARD,2025-06-10,11.6500,12.0500,11.5600,11.7700,11.7700,12600,0.0000,1.0000,2025-06-19 11:37:11
AAT,2025-06-10,20.3400,20.7100,20.1700,20.3900,20.3900,278700,0.0000,1.0000,2025-06-19 11:37:11
AAVM,2025-06-10,26.3400,26.3600,26.3400,26.3600,26.3600,500,0.0000,1.0000,2025-06-19 11:37:11
AAXJ,2025-06-10,81.1400,81.4800,80.9000,81.4100,80.8454,509600,0.0000,1.0000,2025-06-19 11:37:11
AB,2025-06-10,40.9700,40.9900,40.3300,40.3900,40.3900,180900,0.0000,1.0000,2025-06-19 11:37:11
ABAT,2025-06-10,1.4300,1.4500,1.3600,1.3800,1.3800,1156700,0.0000,1.0000,2025-06-19 11:37:11
ABBV,2025-06-10,189.0400,191.8800,188.8000,189.5000,189.5000,4087500,0.0000,1.0000,2025-06-19 11:37:11
ABCB,2025-06-10,62.4300,63.6600,62.4300,63.1500,63.1500,211200,0.0000,1.0000,2025-06-19 11:37:11
ABCL,2025-06-10,2.5500,3.0400,2.5250,3.0200,3.0200,18779000,0.0000,1.0000,2025-06-19 11:37:11
ABCS,2025-06-10,28.4360,28.5000,28.3950,28.4280,28.4280,5000,0.0000,1.0000,2025-06-19 11:37:11
ABEO,2025-06-10,6.5600,6.6400,6.2400,6.4600,6.4600,754600,0.0000,1.0000,2025-06-19 11:37:11
ABEQ,2025-06-10,34.3200,34.3300,34.2750,34.2970,34.2970,13900,0.0000,1.0000,2025-06-19 11:37:11
ABEV,2025-06-10,2.5000,2.5200,2.4400,2.4500,2.4500,40891900,0.0000,1.0000,2025-06-19 11:37:11
ABFL,2025-06-10,70.1000,70.1200,69.9300,70.0510,70.0510,10800,0.0000,1.0000,2025-06-19 11:37:11
ABG,2025-06-10,239.7500,244.9000,237.0800,243.6000,243.6000,95700,0.0000,1.0000,2025-06-19 11:37:11
ABL,2025-06-10,6.2800,6.4800,6.1800,6.1800,6.1800,1385700,0.0000,1.0000,2025-06-19 11:37:11
ABLD,2025-06-10,28.6300,28.6700,28.6000,28.6390,28.6390,7900,0.0000,1.0000,2025-06-19 11:37:11
ABLG,2025-06-10,31.0950,31.1030,31.0950,31.1030,31.1030,200,0.0000,1.0000,2025-06-19 11:37:11
ABLLL,2025-06-10,24.7400,25.0300,24.4500,25.0300,25.0300,4800,0.0000,1.0000,2025-06-19 11:37:11
ABLV,2025-06-10,1.1500,1.1800,1.1470,1.1500,1.1500,3300,0.0000,1.0000,2025-06-19 11:37:11
ABM,2025-06-10,47.9100,48.3100,47.2500,47.8000,47.8000,761300,0.0000,1.0000,2025-06-19 11:37:11
ABNB,2025-06-10,139.2200,140.6050,138.1350,138.5600,138.5600,4138000,0.0000,1.0000,2025-06-19 11:37:11
ABNY,2025-06-10,12.2900,12.3990,12.2450,12.3700,12.3700,40500,0.0000,1.0000,2025-06-19 11:37:11
ABOS,2025-06-10,1.2800,1.2800,1.1700,1.1800,1.1800,265600,0.0000,1.0000,2025-06-19 11:37:11
ABOT,2025-06-10,37.8320,37.8320,37.8320,37.8320,37.8320,200,0.0000,1.0000,2025-06-19 11:37:11
ABR,2025-06-10,10.4600,10.5600,10.3300,10.4400,10.4400,2334800,0.0000,1.0000,2025-06-19 11:37:11
ABSI,2025-06-10,2.9800,3.2800,2.9700,3.0300,3.0300,4162100,0.0000,1.0000,2025-06-19 11:37:11
ABT,2025-06-10,133.5600,134.8500,133.3300,134.1300,134.1300,3579400,0.0000,1.0000,2025-06-19 11:37:11
ABTS,2025-06-10,4.5000,4.6500,4.4500,4.5440,4.5440,106800,0.0000,1.0000,2025-06-19 11:37:11
ABUS,2025-06-10,3.5200,3.6200,3.4800,3.5500,3.5500,491700,0.0000,1.0000,2025-06-19 11:37:11
ABVC,2025-06-10,1.6400,1.6800,1.5950,1.6600,1.6600,229800,0.0000,1.0000,2025-06-19 11:37:11
ABVE,2025-06-10,1.0400,1.0400,0.9350,0.9900,0.9900,105300,0.0000,1.0000,2025-06-19 11:37:11
ABVX,2025-06-10,7.7100,7.9060,7.6050,7.8700,7.8700,184600,0.0000,1.0000,2025-06-19 11:37:11
ABXB,2025-06-10,19.5450,19.5450,19.5450,19.5450,19.5450,100,0.0000,1.0000,2025-06-19 11:37:11
AC,2025-06-10,37.9900,37.9900,37.2000,37.4100,37.3110,4300,0.0000,1.0000,2025-06-19 11:37:11
ACA,2025-06-10,90.0700,90.3000,88.6200,89.8900,89.8900,215400,0.0000,1.0000,2025-06-19 11:37:11
ACAD,2025-06-10,22.3500,22.6900,21.8800,22.2000,22.2000,1878900,0.0000,1.0000,2025-06-19 11:37:11
ACB,2025-06-10,5.8200,5.9900,5.7500,5.9500,5.9500,778500,0.0000,1.0000,2025-06-19 11:37:11
ACCO,2025-06-10,3.8200,3.8600,3.7500,3.7900,3.7900,764400,0.0000,1.0000,2025-06-19 11:37:11
ACCS,2025-06-10,9.3600,10.5000,9.3600,10.4400,10.4400,1600,0.0000,1.0000,2025-06-19 11:37:11
ACDC,2025-06-10,8.7600,9.5000,8.7600,9.4700,9.4700,1103200,0.0000,1.0000,2025-06-19 11:37:11
ACEL,2025-06-10,11.4500,11.6800,11.4500,11.6600,11.6600,242600,0.0000,1.0000,2025-06-19 11:37:11
ACES,2025-06-10,25.5400,25.7500,25.3700,25.6800,25.6800,257000,0.0000,1.0000,2025-06-19 11:37:11
ACET,2025-06-10,0.7740,0.8300,0.7500,0.8200,0.8200,452000,0.0000,1.0000,2025-06-19 11:37:11
ACGL,2025-06-10,90.7300,90.9800,89.2400,89.7700,89.7700,1770200,0.0000,1.0000,2025-06-19 11:37:11
ACGLN,2025-06-10,17.0700,17.1100,17.0300,17.1100,16.8260,27100,0.0000,1.0000,2025-06-19 11:37:11
ACGLO,2025-06-10,20.5540,20.6900,20.5500,20.6600,20.3173,11600,0.0000,1.0000,2025-06-19 11:37:11
ACGR,2025-06-10,58.0030,58.0030,58.0030,58.0030,58.0030,100,0.0000,1.0000,2025-06-19 11:37:11
ACHC,2025-06-10,22.1900,22.9500,21.3500,22.6100,22.6100,4539300,0.0000,1.0000,2025-06-19 11:37:11
ACHR,2025-06-10,11.2700,11.5400,11.0100,11.3800,11.3800,32657300,0.0000,1.0000,2025-06-19 11:37:11
ACHV,2025-06-10,3.7500,3.9000,3.6700,3.6900,3.6900,212800,0.0000,1.0000,2025-06-19 11:37:11
ACI,2025-06-10,21.2700,21.4100,21.0200,21.2100,21.2100,4135100,0.0000,1.0000,2025-06-19 11:37:11
ACIC,2025-06-10,10.8200,10.8900,10.6300,10.7400,10.7400,365100,0.0000,1.0000,2025-06-19 11:37:11
ACIO,2025-06-10,40.5200,40.8000,40.5200,40.7500,40.7500,98300,0.0000,1.0000,2025-06-19 11:37:11
ACIU,2025-06-10,2.1500,2.2300,2.1000,2.2000,2.2000,140600,0.0000,1.0000,2025-06-19 11:37:11
ACIW,2025-06-10,47.7000,47.9100,47.0100,47.3800,47.3800,743000,0.0000,1.0000,2025-06-19 11:37:11
ACLC,2025-06-10,70.4980,70.7080,70.4980,70.7080,70.7080,8400,0.0000,1.0000,2025-06-19 11:37:11
ACLO,2025-06-10,50.2250,50.2250,50.2250,50.2250,50.2250,100,0.0000,1.0000,2025-06-19 11:37:11
ACLS,2025-06-10,68.1600,73.5700,68.1600,70.7600,70.7600,1560500,0.0000,1.0000,2025-06-19 11:37:11
ACLX,2025-06-10,67.3600,68.3900,65.9700,66.6100,66.6100,509300,0.0000,1.0000,2025-06-19 11:37:11
ACM,2025-06-10,111.0000,111.4700,109.9400,111.0300,111.0300,678200,0.0000,1.0000,2025-06-19 11:37:11
ACMR,2025-06-10,25.3300,25.7980,24.9700,25.3800,25.3800,915300,0.0000,1.0000,2025-06-19 11:37:11
ACN,2025-06-10,317.5700,321.6900,317.0000,320.9200,320.9200,2356100,0.0000,1.0000,2025-06-19 11:37:11
ACNB,2025-06-10,41.5600,42.8800,41.4100,42.8800,42.8800,26600,0.0000,1.0000,2025-06-19 11:37:11
ACNT,2025-06-10,13.5000,13.7000,13.4600,13.5500,13.5500,246700,0.0000,1.0000,2025-06-19 11:37:11
ACOG,2025-06-10,9.2500,9.5800,8.6500,9.0200,9.0200,86400,0.0000,1.0000,2025-06-19 11:37:11
ACON,2025-06-10,7.2100,7.2400,7.0000,7.2400,7.2400,23500,0.0000,1.0000,2025-06-19 11:37:11
ACP,2025-06-10,5.8500,5.8700,5.8500,5.8500,5.8500,653300,0.0000,1.0000,2025-06-19 11:37:11
ACR,2025-06-10,17.7700,18.5200,17.7700,18.1200,18.1200,29200,0.0000,1.0000,2025-06-19 11:37:11
ACRE,2025-06-10,4.9100,4.9700,4.8500,4.9400,4.9400,393400,0.0000,1.0000,2025-06-19 11:37:11
ACRS,2025-06-10,1.5000,1.5500,1.4500,1.5100,1.5100,299000,0.0000,1.0000,2025-06-19 11:37:11
ACRV,2025-06-10,1.3000,1.3300,1.2500,1.2800,1.2800,358600,0.0000,1.0000,2025-06-19 11:37:11
ACSI,2025-06-10,62.5450,62.5450,62.5450,62.5450,62.5450,100,0.0000,1.0000,2025-06-19 11:37:11
ACT,2025-06-10,34.2500,34.7600,34.1700,34.5500,34.5500,337800,0.0000,1.0000,2025-06-19 11:37:11
ACTG,2025-06-10,3.8300,3.8600,3.7900,3.8300,3.8300,144400,0.0000,1.0000,2025-06-19 11:37:11
ACTU,2025-06-10,8.9200,9.0070,8.6000,8.6000,8.6000,18700,0.0000,1.0000,2025-06-19 11:37:11
ACTV,2025-06-10,31.1900,31.2900,31.1900,31.2580,31.2580,3900,0.0000,1.0000,2025-06-19 11:37:11
ACU,2025-06-10,39.5200,39.8200,38.8500,38.8500,38.8500,11800,0.0000,1.0000,2025-06-19 11:37:11
ACV,2025-06-10,22.6400,22.6800,22.4400,22.4700,22.2887,28100,0.0000,1.0000,2025-06-19 11:37:11
ACVA,2025-06-10,16.7800,16.9300,16.6100,16.6900,16.6900,1069000,0.0000,1.0000,2025-06-19 11:37:11
ACVF,2025-06-10,45.9300,45.9650,45.7480,45.9650,45.9650,8800,0.0000,1.0000,2025-06-19 11:37:11
ACVT,2025-06-10,25.9000,25.9000,25.8500,25.8500,25.8500,2200,0.0000,1.0000,2025-06-19 11:37:11
ACWI,2025-06-10,126.0900,126.5800,125.8200,126.5200,125.5503,2072900,0.0000,1.0000,2025-06-19 11:37:11
ACWV,2025-06-10,118.3800,118.5100,118.1300,118.3800,117.1970,85000,0.0000,1.0000,2025-06-19 11:37:11
ACWX,2025-06-10,60.9400,60.9400,60.6600,60.8600,60.0070,897800,0.0000,1.0000,2025-06-19 11:37:11
ACXP,2025-06-10,0.3600,0.3600,0.3430,0.3540,0.3540,399200,0.0000,1.0000,2025-06-19 11:37:11
ADAG,2025-06-10,1.9850,2.0900,1.9300,1.9600,1.9600,6700,0.0000,1.0000,2025-06-19 11:37:11
ADAP,2025-06-10,0.2780,0.2850,0.2700,0.2770,0.2770,707200,0.0000,1.0000,2025-06-19 11:37:11
ADBE,2025-06-10,416.6100,419.8200,414.4200,416.0600,416.0600,2627400,0.0000,1.0000,2025-06-19 11:37:11
ADBG,2025-06-10,16.2000,16.8400,16.0980,16.4900,16.4900,20300,0.0000,1.0000,2025-06-19 11:37:11
ADC,2025-06-10,74.7800,75.2200,74.3400,74.7300,74.7300,1120500,0.0000,1.0000,2025-06-19 11:37:11
ADCT,2025-06-10,3.6000,3.8700,3.5600,3.6700,3.6700,691500,0.0000,1.0000,2025-06-19 11:37:11
ADD,2025-06-10,0.9100,0.9200,0.8900,0.9000,0.9000,515800,0.0000,1.0000,2025-06-19 11:37:11
ADEA,2025-06-10,13.7900,13.9500,13.7227,13.8700,13.8700,350216,0.0000,1.0000,2025-06-19 11:37:11
ADFI,2025-06-10,8.4450,8.4600,8.4300,8.4600,8.4600,5600,0.0000,1.0000,2025-06-19 11:37:11
ADGM,2025-06-10,1.2900,1.2980,1.1900,1.2500,1.2500,40800,0.0000,1.0000,2025-06-19 11:37:11
ADI,2025-06-10,228.2700,234.7600,228.0100,233.3400,233.3400,4164800,0.0000,1.0000,2025-06-19 11:37:11
